,PGC,GWGC_name,HyperLEDA_name,2MASS_name,SDSS-DR12_name,Type,RA,Dec,dist,dist_err,z,B_mag,B_err,B_Abs,J_mag,J_err,H_mag,H_err,K_mag,K_err,flag2,flag3,Av,SkyCoord,HST,used
756,52460.0,PGC052460,PGC052460,14410640-0852307,,G,220.27668799999998,-8.875219,26.095936385599998,,0.005213000000000001,13.312999999999999,,-18.7699,12.202,0.036000000000000004,11.623,0.052000000000000005,11.457,0.084,3,1,0.234,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (220.276688, -8.875219)>",0.0,False
757,14079.0,NGC1481,NGC1481,03542901-2025380,,G,58.62088000000001,-20.427246,27.289632676999997,,0.016632,14.339,,-17.840999999999998,12.475,0.05,11.782,0.066,11.440999999999999,0.096,3,1,0.107,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (58.62088, -20.427246)>",0.0,False
758,50807.0,NGC5510,NGC5510,14133725-1759006,,G,213.40522799999997,-17.9835,15.6300989556,,0.008617,12.942,,-18.0278,12.286,0.033,11.684000000000001,0.055,11.466,0.08,3,1,0.235,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (213.405228, -17.9835)>",0.0,False
759,24253.0,UGC04508,UGC04508,08375622-0227477,,G,129.484268,-2.4632669999999997,29.1287632201,,0.0061681230840600005,14.2,0.3,-18.1216,12.33,0.033,11.898,0.054000000000000006,11.45,0.073,3,1,0.07,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (129.484268, -2.463267)>",0.0,False
760,54817.0,PGC054817,PGC054817,15213337-0726516,,G,230.389069,-7.44768,27.9861943484,,0.00527667263834,14.29,0.49,-17.9447,12.402999999999999,0.039,11.706,0.05,11.48,0.08199999999999999,3,1,0.263,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (230.389069, -7.44768)>",0.0,False
761,51921.0,NGC5661,NGC5661,14315739+0615016,,G,217.989166,6.250472,33.153153578,,0.016314,13.651,,-18.9516,12.300999999999998,0.038,11.652999999999999,0.05,11.458,0.09300000000000001,3,1,0.084,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (217.989166, 6.250472)>",0.0,False
762,46277.0,PGC046277,PGC046277,13171078-1613462,,G,199.294937,-16.229511,32.4769589577,,0.012719,14.639000000000001,,-17.9189,12.425,0.03,11.696,0.035,11.482000000000001,0.069,3,1,0.232,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (199.294937, -16.229511)>",0.0,False
763,20677.0,UGC03670,UGC03670,07200441+8535137,,G,110.01841,85.587166,30.596619109899997,,0.013531999999999999,14.593,,-17.8354,12.439,0.035,11.72,0.054000000000000006,11.482999999999999,0.07,3,1,0.228,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (110.01841, 85.587166)>",0.0,False
764,23998.0,NGC2604A,NGC2604,08332305+2932190,,G,128.346069,29.53862,31.1293967562,,0.006948483474239999,12.87,0.3,-19.5959,12.357999999999999,0.039,11.742,0.054000000000000006,11.469000000000001,0.079,3,1,0.11,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (128.346069, 29.53862)>",0.0,False
765,12394.0,PGC012394,PGC012394,03192609-0607162,,G,49.858723,-6.121181,31.662277024699996,,0.022922,14.404000000000002,,-18.0987,12.447000000000001,0.03,11.769,0.039,11.479000000000001,0.069,3,1,0.127,"<SkyCoord (FK5: equinox=J2000.000): (ra, dec) in deg
    (49.858723, -6.121181)>",0.0,False
