,Dec,Galaxies,RA
490,4.201428,['UGC07387'],185.072296
491,-25.512587,['NGC1306'],50.262455
492,60.080662,['NGC2273A'],100.029358
493,60.776775,['UGC08684'],205.566315
494,2.248187,['PGC054452'],228.89418
495,5.10006,['UGC07422'],185.505417
496,2.765927,['PGC020885'],110.782494
497,37.765038,['NGC3652'],170.662735
498,-16.932734,['PGC045711'],197.603897
499,12.315966,['NGC4436'],186.921753
500,7.1739229999999985,['NGC3526'],166.735931
501,-17.391941,['PGC039748'],184.998032
502,-23.838913,['ESO482-035'],55.311039
503,46.150974,['PGC047559'],202.907074
504,0.617879,['NGC3023'],147.469315
505,-11.648901,['NGC3321'],159.710632
506,84.482285,['UGC03257'],80.43561600000002
507,-19.890728,['ESO569-014'],162.85038799999995
508,-15.484623999999998,['NGC1188'],45.930733
509,33.910275,['NGC3442'],163.283905
510,59.155476,['IC0691'],171.684479
511,7.085953,['PGC056772'],240.54834
512,34.925514,['NGC2780'],138.18486
513,12.457081,['NGC5762'],222.177338
514,26.963408,['NGC3629'],170.132568
515,0.288314,['UGC11566'],307.049805
516,13.246446,['NGC4165'],183.049225
517,67.241798,['NGC3622'],170.051788
518,-16.869526,['PGC170170'],175.645065
519,-16.9004,['PGC046579'],200.170975
520,36.410301,['NGC3755'],174.13900800000005
521,29.095991,['NGC7286'],336.96051
522,-5.187745,['PGC170172'],176.73172
523,13.085848,['UGC04550'],130.816666
524,44.599228,['UGC08603'],204.14035
525,-10.151028,['PGC145875'],58.795059
526,7.538553,['IC1197'],242.072052
527,-18.895113,['ESO548-079'],55.483627
528,44.918602,['NGC0746'],29.462515000000003
529,84.102562,['UGC08101'],194.233307
530,3.169287,['IC2327'],125.366501
531,25.364836,['UGC05588'],155.238052
532,71.09626,['NGC6395'],261.630371
533,-3.604455,['PGC051697'],217.097168
534,15.354542000000002,['IC0800'],188.486313
535,-25.722513,['ESO490-012'],98.216537
536,46.311821,['NGC5439'],210.490265
537,44.699104,['PGC051753'],217.310318
538,54.333004,['UGC08658'],205.16629
539,41.257317,['NGC0573'],22.705626
540,28.309881,['IC0777'],184.849228
541,-16.124348,['PGC017323'],82.058868
542,12.080527,['IC1131'],234.71553
543,33.178913,['PGC035754'],173.614716
544,46.565308,['UGC09703'],226.359467
545,-4.891069,['PGC170228'],196.050247
546,-2.7028380000000003,['NGC7694'],353.315674
547,-6.806339,['IC0215'],33.539417
548,74.242622,['NGC4572'],188.939102
549,3.676542,['PGC042748'],190.734665
550,-3.366546,['PGC016048'],72.09387199999998
551,85.260216,['UGC01198'],27.323296000000006
552,76.828369,['NGC5323'],206.402283
553,-11.113324,['PGC2816456'],77.338104
554,2.023594,['PGC053521'],224.703003
555,-19.316916,['ESO544-027'],33.22768
556,21.873281,['NGC3187'],154.449371
557,64.376427,['UGC07020A'],180.654465
558,17.650623,['PGC039413'],184.36351
559,28.55118,['NGC3026'],147.730453
560,-5.118392,['IC2963'],177.352402
561,50.428394,['UGC06917'],179.11988799999997
562,-22.383947,['ESO575-053'],196.270554
563,61.359444,['NGC6542'],269.910858
564,-25.835609,['ESO481-018'],49.636677
565,-14.872495,['PGC170239'],198.905701
566,-24.469225,['ESO514-008'],230.128052
567,-12.53026,['PGC170437'],56.497498
568,30.314169,['UGC06271'],168.654877
569,68.202591,['IC1218'],244.154556
570,-19.695948,['ESO576-050'],201.174164
571,3.862108,['NGC3246'],156.674026
572,-5.585975,['NGC3679'],171.535828
573,-9.795516,['PGC156572'],170.917679
574,31.759699,['NGC5974'],234.75994900000003
575,35.328457,['UGC06526'],173.16394
576,13.780342,['IC1014'],217.076553
577,42.323357,['NGC0620'],24.248648
578,43.242783,['NGC5336'],208.040604
579,12.103865,['IC0767'],182.761459
580,36.735176,['PGC010873'],43.09473
581,29.968494,['NGC5798'],224.408188
582,19.117682,['PGC061468'],272.360748
583,76.12583199999997,['NGC4159'],182.72348
584,-14.882943,['PGC044952'],195.51387
585,-16.537647,['PGC046533'],200.077301
586,-16.233192000000006,['PGC012798'],51.35380900000001
587,32.221008000000005,['NGC3011'],147.421844
588,-18.196527,['ESO572-018'],178.9608
589,74.838394,['PGC040048'],185.57309
590,14.961459,['IC0781'],185.013626
591,84.641418,['UGC04078'],121.103363
592,-17.493584,['PGC135126'],63.431458
593,27.874479,['IC2361'],126.435471
594,43.162529,['NGC1159'],45.193844
595,-15.596878,['NGC0244'],11.44346
596,25.256411,['UGC01970'],37.475082
597,16.055481,['PGC038113'],180.900116
598,-22.06913,['PGC819710'],91.832161
599,-9.210658,['PGC016926'],78.260635
600,-25.854837,['PGC012154'],49.088768
601,12.973927,['IC3631'],189.950195
602,20.422220000000006,['UGC05833'],160.775024
603,-10.77003,['IC4216'],199.257843
604,-2.319723,['UGC06879'],178.604523
605,20.289045,['UGC12692'],353.92923
606,14.36352,['UGC05646'],156.471054
607,9.909971,['IC0114'],21.594063
608,58.150021,['NGC3225'],156.29136699999995
609,-23.158886,['ESO483-013'],63.17132900000001
610,-0.92244,['UGC06402'],170.82974199999995
611,40.844959,['NGC6339'],259.2771
612,39.881031,['PGC005363'],21.638643
613,3.266221,['NGC5636'],217.412735
614,85.638092,['UGC03509'],103.727013
615,-8.147538,['NGC1047'],40.136696
616,-10.23393,['NGC5066'],199.618591
617,78.562904,['UGC04714'],135.81364399999998
618,-18.070494,['ESO580-030'],221.897659
619,-1.29201,['NGC7693'],353.293671
620,40.430145,['NGC5950'],232.878433
621,-15.773617000000002,['PGC008319'],32.6567
622,36.081223,['UGC02143'],39.902344
623,73.17842900000002,['UGC08052'],193.720795
624,-5.568107,['PGC006228'],25.279623
625,75.005997,['PGC014673'],63.262287
626,1.6673209999999998,['UGC03199'],73.56916
627,-8.875219,['PGC052460'],220.276688
628,-20.427246,['NGC1481'],58.62088000000001
629,-17.9835,['NGC5510'],213.405228
630,-2.463267,['UGC04508'],129.484268
631,-7.44768,['PGC054817'],230.389069
632,6.250472,['NGC5661'],217.989166
633,85.587166,['UGC03670'],110.01841
634,29.53862,['NGC2604A'],128.346069
635,-6.121181,['PGC012394'],49.858723
636,69.544853,['NGC4120'],182.129181
637,33.391808000000005,['UGC06070'],164.942734
638,16.399979000000002,['PGC004612'],19.182346
639,-3.872218,['IC2969'],178.130295
640,-5.556619,['PGC044876'],195.295471
641,36.698124,['UGC06517'],173.01004
642,6.9073850000000006,['UGC06233'],167.867676
643,13.41915,['UGC04599'],131.92363
644,41.709625,['PGC049002'],207.18808
645,54.538639,['UGC05369'],150.078461
646,-6.143032,['PGC144017'],18.249565
647,-4.892713,['IC2099'],72.716988
648,19.673149,['IC3436'],187.624802
649,17.441235,['PGC034522'],169.49176
650,-9.025941,['PGC170179'],178.804871
651,12.016747,['IC3063'],183.778412
652,-19.872139,['ESO566-002'],145.820419
653,50.390453,['PGC051309'],215.40451
654,-22.749781,['ESO499-017'],148.588837
655,64.266205,['UGC05776'],159.506973
656,-13.90293,['PGC011744'],47.079269
657,-2.230478,['PGC071646'],352.764069
658,-20.744215,['ESO563-012'],130.41153
659,13.213551,['UGC04590'],131.66629
660,-17.679454999999994,['PGC3093997'],130.945175
661,11.433786,['IC3413'],187.343689
662,21.049742,['IC0851'],197.143127
